file,A_px,P_px
captcha_0001_UYupOQfd.jpeg,1.03,213.33
captcha_0002_NEZNxrpY.jpeg,0.74,213.33
captcha_0006_FRssNudD.jpeg,0.79,213.33
captcha_0007_UsazPHAf.jpeg,0.89,213.33
captcha_0008_sodcdTYm.jpeg,0.86,213.33
captcha_0009_syqtofYN.jpeg,0.94,213.33
captcha_0010_dbKWTQos.jpeg,0.76,213.33
captcha_0011_QsdFmodr.jpeg,0.9,213.33
captcha_0012_NWqBBsxk.jpeg,0.97,213.33
captcha_0013_uzRsJGja.jpeg,0.61,213.33
captcha_0015_sFtWszx.jpeg,0.62,213.33
captcha_0016_czakYzrx.jpeg,0.64,213.33
captcha_0017_RfpMzgGx.jpeg,0.92,213.33
captcha_0018_zqpMtjjR.jpeg,0.74,213.33
captcha_0020_cpMcaeWr.jpeg,0.95,213.33
captcha_0021_ufRhaBby.jpeg,0.69,213.33
captcha_0022_ptmugacy.jpeg,1.02,213.33
captcha_0023_doxjByTt.jpeg,1.05,213.33
captcha_0025_gsuFBBus.jpeg,1.02,213.33
captcha_0026_Wrbmxaqu.jpeg,0.86,213.33
captcha_0027_qEroqazN.jpeg,0.9,213.33
captcha_0028_xpomARpG.jpeg,0.63,213.33
captcha_0029_oRWuBuns.jpeg,0.92,213.33
captcha_0031_WmQGxope.jpeg,0.86,213.33
captcha_0032_AWkukkxY.jpeg,0.78,213.33
captcha_0033_qAukozsk.jpeg,0.81,213.33
captcha_0034_WQfkBZNza.jpeg,0.71,213.33
captcha_0035_oehMauxW.jpeg,0.79,213.33
captcha_0036_tuFbxtqc.jpeg,0.88,213.33
captcha_0037_uuzokskQ.jpeg,0.72,213.33
captcha_0038_fcdxxuxJ.jpeg,0.71,213.33
captcha_0040_NccyNNus.jpeg,0.87,213.33
captcha_0042_zuxHortm.jpeg,0.88,213.33
captcha_0043_tqprBrwf.jpeg,0.76,213.33
captcha_0044_upscryJQ.jpeg,0.9,213.33
captcha_0045_zkxenzbo.jpeg,0.86,213.33
captcha_0046_mwzyousq.jpeg,1.1,213.33
captcha_0047_ojrbgFuT.jpeg,0.95,213.33
captcha_0048_jBGtefsG.jpeg,0.73,213.33
captcha_0049_otpNHrzu.jpeg,0.71,213.33
captcha_0050_RcJJTapG.jpeg,1.02,213.33
captcha_0051_osuaTewb.jpeg,0.86,213.33
captcha_0052_pGoeyopw.jpeg,0.92,213.33
captcha_0053_esbufRDg.jpeg,0.79,213.33
captcha_0054_Jwzujzqq.jpeg,1.08,213.33
captcha_0056_QBaEnHhn.jpeg,0.97,213.33
captcha_0057_DcQBadoE.jpeg,1.04,213.33
captcha_0058_EkkcfczF.jpeg,0.74,213.33
captcha_0059_mcxRkyzY.jpeg,0.63,213.33
captcha_0060_kjrzzeHb.jpeg,1.02,213.33
captcha_0061_wsYBkoxx.jpeg,0.89,213.33
captcha_0063_fbrzEcBo.jpeg,0.9,213.33
captcha_0064_jsAmNQxk.jpeg,0.83,213.33
captcha_0065_nkotArNx.jpeg,0.73,213.33
captcha_0066_HBuEAHQz.jpeg,0.75,213.33
captcha_0067_ZBrNRxpM.jpeg,0.86,213.33
captcha_0069_AtkohDdF.jpeg,0.72,213.33
captcha_0070_EczpgdsH.jpeg,1.19,213.33
captcha_0071_BwHkafTr.jpeg,0.79,213.33
captcha_0072_qkctxYFa.jpeg,0.92,213.33
captcha_0073_DBycsueu.jpeg,0.78,213.33
captcha_0074_zEwEnpoj.jpeg,0.78,213.33
captcha_0075_JtpjonNc.jpeg,0.79,213.33
captcha_0076_tnEFDcax.jpeg,0.74,213.33
captcha_0077_xPwRwNhU.jpeg,0.68,213.33
captcha_0078_kxxcUgdR.jpeg,1.22,213.33
captcha_0079_oHpDAoYT.jpeg,0.76,213.33
captcha_0080_KyhznuTq.jpeg,0.83,213.33
captcha_0081_jEhpxasj.jpeg,1.01,213.33
captcha_0082_QabUHzNA.jpeg,0.8,213.33
captcha_0083_EkyxTeDx.jpeg,0.82,213.33
captcha_0084_uuHERQro.jpeg,0.79,213.33
captcha_0085_ybARaBcs.jpeg,0.93,213.33
captcha_0086_uoccdDsp.jpeg,0.77,213.33
captcha_0087_JDQzokRQ.jpeg,1.02,213.33
captcha_0088_phwxnQzU.jpeg,0.83,213.33
captcha_0090_ydsyFwYw.jpeg,0.86,213.33
captcha_0091_wzouoseE.jpeg,0.84,213.33
captcha_0092_DMbUhxpk.jpeg,0.82,213.33
captcha_0093_Gtgfuobn.jpeg,1.02,213.33
captcha_0094_prsdkmYz.jpeg,0.66,213.33
captcha_0095_bukcnxfj.jpeg,0.65,213.33
captcha_0096_pcasoBcB.jpeg,1.06,213.33
captcha_0097_pQGxybMY.jpeg,1.04,213.33
captcha_0098_JkQHQNBa.jpeg,1.06,213.33
captcha_0099_cJsdwzkr.jpeg,0.81,213.33
captcha_0100_AEgpDzdr.jpeg,1.28,213.33
captcha_0101_cHysoHBT.jpeg,0.95,213.33
captcha_0102_qgartBbA.jpeg,1.2,213.33
captcha_0103_zTwzfcyk.jpeg,0.57,213.33
captcha_0104_gqcwzkzt.jpeg,-1.16,213.33
captcha_0105_pmooGjMk.jpeg,0.8,213.33
captcha_0106_NeMYwbuj.jpeg,0.71,213.33
captcha_0107_xymHQeuT.jpeg,1.02,213.33
captcha_0108_eEJJdFuw.jpeg,0.66,213.33
captcha_0109_sYkRgnDM.jpeg,1.14,213.33
captcha_0110_kNFnFkGy.jpeg,0.7,213.33
captcha_0111_kokuYHaa.jpeg,0.89,213.33
captcha_1001_ETMCWAdU.jpeg,0.94,213.33
captcha_1002_fuddrtNH.jpeg,0.7,213.33
